location_name,GDP,Prevalence
Saint Vincent and the Grenadines,8740.594252,544.93036377549
Saint Vincent and the Grenadines,8740.594252,2324.90253355892
Dominican Republic,8183.016236,558.07851193256
Dominican Republic,8183.016236,2547.88762694656
Serbia,7755.632986,584.60460967557
Serbia,7755.632986,453.19330422166
Thailand,7605.696578,528.64714127484
Thailand,7605.696578,865.87404701377
Gabon,7441.178647,740.50317721442
Gabon,7441.178647,1096.75873131712
Botswana,7172.089565,717.1433198291401
Botswana,7172.089565,1086.67228135987
Peru,7037.008037,640.42164556045
Peru,7037.008037,1692.56387241618
Belarus,6837.773396,644.5182783761401
Belarus,6837.773396,431.46996251432
Equatorial Guinea,6804.149231,807.9451920101901
Equatorial Guinea,6804.149231,1343.02261086654
North Macedonia,6718.858266,566.6586159827
North Macedonia,6718.858266,448.4484893600901
Suriname,6629.667752,544.29014601489
Suriname,6629.667752,2423.08902276169
South Africa,6533.71121,715.61077450355
South Africa,6533.71121,1058.3968652206
Colombia,6472.545449,687.35573354345
Colombia,6472.545449,896.1091872589101
Guyana,6405.824434,549.1460815957901
Guyana,6405.824434,2579.80049343181
Ecuador,6205.057652,623.05961628697
Ecuador,6205.057652,1749.93564397807
Belize,6171.614498,587.88019883099
Belize,6171.614498,2748.6734668500703
Bosnia and Herzegovina,6122.375414,566.1953433106399
Bosnia and Herzegovina,6122.375414,424.3958663798
Albania,6069.439031,598.24714871575
Albania,6069.439031,461.83739101388
Jamaica,6030.688964,576.7074050195
Jamaica,6030.688964,2468.3787844610597
